,symbol,issuer,homepage
0,QAI,IndexIQ,http://www.indexiq.com/etfs/etfsiqh/etfsiqhmultistrat.html
1,MNA,IndexIQ,http://www.indexiq.com/etfs/etfsiqh/iq-merger-arbitrage-etf.html
2,WTMF,WisdomTree,https://www.wisdomtree.com/etfs/alternative/wtmf
3,FTLS,First Trust,http://www.ftportfolios.com/Retail/Etf/EtfSummary.aspx?Ticker=FTLS
4,DYLS,WisdomTree,http://www.wisdomtree.com/etfs/fund-details-alternative.aspx?etfid=124
5,RLY,State Street SPDR,https://www.spdrs.com/product/fund.seam?ticker=RLY
6,DIVY,Reality Shares,http://www.realityshares.com/funds/divy/
7,CPI,IndexIQ,http://www.indexiq.com/etfs/real-return-inflation-hedge/iq-real-return-etf.html
8,JPMF,J.P. Morgan,https://am.jpmorgan.com/us/en/asset-management/gim/adv/products/d/jpmorgan-managed-futures-strategy-etf-etf-shares-46641q829
9,HTUS,Exchange Traded Concepts,http://www.hulltacticalfunds.com/fund-summary.aspx
10,CLIX,ProShares,http://www.proshares.com/funds/clix.html
11,BTAL,AGFiQ Asset Management,http://www.quant-shares.com/etf-list/anti-beta-etf-btal/
12,HDG,ProShares,http://proshares.com/funds/hdg.html
13,JPED,J.P. Morgan,https://am.jpmorgan.com/us/en/asset-management/gim/adv/products/d/jpmorgan-event-driven-etf-etf-shares-46641q860
14,JPLS,J.P. Morgan,https://am.jpmorgan.com/us/en/asset-management/gim/adv/products/d/jpmorgan-long-short-etf-etf-shares-46641q811
15,VAMO,Cambria,http://www.cambriafunds.com/vamo.aspx
16,QMN,IndexIQ,http://www.indexiq.com/etfs/etfsiqh/iq-hedge-market-neutral-tracker-etf.html
17,GARD,Reality Shares,http://www.realityshares.com/funds/gard/
18,ULBR,Citigroup,http://www.velocitysharesetns.com/ulbr
19,FLAG,Exchange Traded Concepts,http://www.flagetf.com/
20,FMF,First Trust,http://www.ftportfolios.com/Retail/Etf/EtfSummary.aspx?Ticker=FMF
21,RALS,ProShares,http://proshares.com/funds/rals.html
22,MOM,AGFiQ Asset Management,http://www.quant-shares.com/etf-list/momentum-etf-mom/
23,ALTS,ProShares,http://www.proshares.com/funds/alts.html
24,MCRO,IndexIQ,http://www.indexiq.com/etfs/etfsiqh/etfsiqhmacro.html
25,QLS,IndexIQ,http://www.indexiq.com/etfs/etfsiqh/iq-hedge-longshort-etf.html
26,MRGR,ProShares,http://www.proshares.com/funds/mrgr.html
27,DFND,Reality Shares,http://www.realityshares.com/funds/dfnd/
28,DIVA,AGFiQ Asset Management,http://www.quant-shares.com/etf-list/hedged-dividend-income-etf-diva/
29,QED,IndexIQ,http://www.indexiq.com/etfs/etfsiqh/etfsiqheventdriven.html
30,FUT,ProShares,http://www.proshares.com/funds/fut.html
31,DLBR,Citigroup,http://www.velocitysharesetns.com/dlbr
32,SIZ,AGFiQ Asset Management,http://www.quant-shares.com/etf-list/size-etf-siz/
33,CHEP,AGFiQ Asset Management,http://www.quant-shares.com/etf-list/value-etf-chep/
34,RPUT,WisdomTree,https://www.wisdomtree.com/etfs/alternative/rput
35,VXXB,Barclays Capital,http://www.ipathetn.com/US/16/en/details.app?instrumentId=341408
36,SVXY,ProShares,http://proshares.com/funds/svxy.html
37,TVIX,Credit Suisse,http://www.velocitysharesetns.com/tvix
38,UVXY,ProShares,http://proshares.com/funds/uvxy.html
39,VIXY,ProShares,http://proshares.com/funds/vixy.html
40,ZIV,Credit Suisse,http://www.velocitysharesetns.com/ziv
41,UOCT,Innovator Management,http://www.innovatoretfs.com/etf/?ticker=uoct
42,VIXM,ProShares,http://proshares.com/funds/vixm.html
43,VIIX,Credit Suisse,http://www.velocitysharesetns.com/viix
44,UJUL,Innovator Management,http://www.innovatoretfs.com/etf/?ticker=ujul
45,POCT,Innovator Management,http://www.innovatoretfs.com/etf/?ticker=poct
46,BOCT,Innovator Management,http://www.innovatoretfs.com/etf/?ticker=boct
47,VXZB,Barclays Capital,http://www.ipathetn.com/US/16/en/details.app?instrumentId=341615
48,EXIV,UBS,http://www.velocitysharesetns.com/exiv
49,PJUL,Innovator Management,http://www.innovatoretfs.com/etf/?ticker=pjul
50,XVZ,Barclays Capital,http://www.ipathetn.com/us/product/XVZ/
51,BJUL,Innovator Management,http://www.innovatoretfs.com/etf/?ticker=bjul
52,EVIX,UBS,http://www.velocitysharesetns.com/evix
